block_id,conc1,conc2,ZIP_fit,ZIP_ref,ZIP_synergy,HSA_ref,HSA_synergy,Bliss_ref,Bliss_synergy,Loewe_ref,Loewe_synergy,Loewe_ci
4,0.016,1e-4,46.92023570625618,54.60988916184723,-7.689653455591049,46.6605276714458,-1.7479865466680025,45.78252595879838,-0.8699848340205847,57.16287897939837,-12.250337854620575,8.859735650007384
4,0.016,0,46.6605276714458,46.6605276714458,0,46.6605276714458,0,46.6605276714458,0,46.6605276714458,0,NA
4,0.0016,1,92.37031669790204,97.56856321938452,-5.198246521482474,96.04251337284522,-5.1381676155638445,97.57179630772292,-6.6674505504415436,96.03701067480023,-5.132664917518852,6.998211973911345
4,0.0016,0.1,62.769612977224156,77.36895324734895,-14.599340270124799,63.10374577537015,-0.6680177363658757,77.36148490693668,-14.925756867932407,63.30089977340919,-0.8651717344049175,1.0049350490859965
4,0.0016,0.01,36.52063744931557,35.43189797877984,1.0887394705357352,38.64278212298548,-3.8541523754477893,28.331324767961675,6.457304979576016,44.88683739137673,-10.09820764383904,1.1858083289214478
4,0.0016,0.001,33.50476270493458,35.431809320978246,-1.9270466160436683,38.64278212298548,-4.1621197539977,35.112153372591045,-0.6314910036032657,39.77182006303438,-5.291157694046603,1.0824310681257512
4,0.0016,1e-4,34.26823646451914,35.43180932091731,-1.1635728563981687,38.64278212298548,-3.7506356316097893,37.63280320816859,-2.7406567167928984,38.748816597365916,-3.8566701059902257,1.0646491207242683
4,0.0016,0,38.64278212298548,38.64278212298548,0,38.64278212298548,0,38.64278212298548,0,38.64278212298548,0,NA
4,2e-4,1,95.29146742305623,96.05972874818107,-0.7682613251248398,96.04251337284522,-0.10159133194548531,95.95911273771175,-0.01819069681201313,96.03701067480023,-0.09608863390049294,3.639605127173106
4,2e-4,0.1,61.671640881935616,63.3251978299562,-1.6535569480205865,63.10374577537015,0.10131342561486179,62.32618887466812,0.8788703263168927,63.30089977340919,-0.09584057242417998,0.9993306606644541
4,2e-4,0.01,22.0149002308124,-4.636007074929438,26.65090730574184,-2.1074141997400075,21.22385642049904,-19.267192357588936,38.383634578347966,0.8976883676325373,18.218753853126497,0.305401792338235
4,2e-4,0.001,10.178987510803045,-4.63615074956234,14.815138260365385,-2.1074141997400075,11.04729604385275,-7.982898530281757,16.9227803743945,0.8976883676325373,8.042193476480204,0.22628163361912174
4,2e-4,1e-4,6.413577468396602,-4.636150749661083,11.049728218057684,-1.646063739137143,10.073306442352541,-3.788167319852498,12.215410023067896,0.8976883676325373,7.529554335582861,0.21600859586499666
4,2e-4,0,-2.1074141997400075,-2.1074141997400075,0,-2.1074141997400075,0,-2.1074141997400075,0,-2.1074141997400075,0,NA
4,0,1,96.04251337284522,96.04251337284522,0,96.04251337284522,0,96.04251337284522,0,96.04251337284522,0,NA
4,0,0.1,63.10374577537015,63.10374577537015,0,63.10374577537015,0,63.10374577537015,0,63.10374577537015,0,NA
4,0,0.01,-16.805614256650752,-16.805614256650752,0,-16.805614256650752,0,-16.805614256650752,0,-16.805614256650752,0,NA
4,0,0.001,-5.754219100141226,-5.754219100141226,0,-5.754219100141226,0,-5.754219100141226,0,-5.754219100141226,0,NA
4,0,1e-4,-1.646063739137143,-1.646063739137143,0,-1.646063739137143,0,-1.646063739137143,0,-1.646063739137143,0,NA
4,0,0,3.2369465415409624,3.2369465415409624,0,3.2369465415409624,0,3.2369465415409624,0,3.2369465415409624,0,NA
5,1.6,1,72.98610630229348,85.32886148421021,-12.34275518191673,67.92471598361286,5.087733987754973,87.61423329412395,-14.60178332275612,62.053183876243814,10.959266095124015,0
5,1.6,0.1,69.16935156937683,81.93969296117739,-12.770341391800557,67.92471598361286,1.4543781586262554,84.75490474327401,-15.3758106010349,62.01121437591015,7.3678797663289615,0
5,1.6,0.01,62.6909804420221,58.400853969989264,4.2901264720328385,67.92471598361286,-6.633869127144749,63.6358318051086,-2.3449849486404943,62.149634166978004,-0.8587873105098964,8.175962831053306
5,1.6,0.001,67.57840658683138,58.40082251582081,9.177584071010564,67.92471598361286,1.9396424972781574,64.80177111693362,5.062587363957391,62.00397242803691,7.860386052854103,0
5,1.6,1e-4,64.54666287653478,58.40082251581552,6.145840360719262,67.92471598361286,-3.3911185632130696,64.38184554410118,0.15175187629860432,62.00390279983524,2.5296946205645483,0
5,1.6,0,67.92471598361286,67.92471598361286,0,67.92471598361286,0,67.92471598361286,0,67.92471598361286,0,NA
5,0.16,1,72.7026646999438,84.99039317238545,-12.287728472441657,61.385324913886315,11.337993490269234,83.0682471469935,-10.34492874283795,61.95810516130056,10.76521324285499,0
5,0.16,0.1,67.9456118358298,81.5230353426914,-13.577423506861606,56.15202558289718,11.919661283626695,79.15945042102514,-11.087763554501265,61.470047934736705,6.601638931787171,0
5,0.16,0.01,57.17485404045728,57.44114707914534,-0.26629303868806176,56.15202558289718,0.8728501471778856,50.28897901904155,6.735896711033519,61.42607481331196,-4.401199083236897,7.244918618191164
5,0.16,0.001,59.156202568982465,57.44111489931818,1.7150876696642854,56.15202558289718,2.3257272254979995,51.882856631806554,6.594896176588627,61.42607481331196,-2.9483220049167826,4.716484612327001
5,0.16,1e-4,57.600986759066146,57.44111489931277,0.15987185975337326,56.15202558289718,-1.4054510277034495,51.30880448108397,3.437770074109764,61.42607481331196,-6.679500258118232,11.517550962572024
5,0.16,0,56.15202558289718,56.15202558289718,0,56.15202558289718,0,56.15202558289718,0,56.15202558289718,0,NA
5,0.016,1,71.273112782282,82.818446710632,-11.545333928350004,61.385324913886315,9.788155735072444,81.98346787242632,-10.809987223467559,61.93528779384996,9.2381928551088,0
5,0.016,0.1,63.94742956502972,78.84934918473338,-14.901919619703662,53.34278460871304,9.641090248623172,77.82424334293177,-14.840368485595555,60.81161662231734,2.172258235018873,0
